comparison_id,participant_id,session_id,comparison_number,timestamp,condition,traj_a_id,traj_b_id,traj_a_reward,traj_b_reward,reward_difference,correct_choice,difficulty_category,choice_made,choice_accuracy,confidence_score,confidence_method,total_feedback_time,initial_viewing_time,deliberation_time,confidence_reporting_time,total_replay_time,replay_count,replay_trajectory_a,replay_trajectory_b,trajectories_shown_time,first_interaction_time,prompt_shown_time,preference_selected_time,confidence_submitted_time
P01_S1_C001,P01,1,1,2026-03-19T00:55:23.381892,baseline,traj_a_1,traj_b_1,367.9776708310689,380.79709589952074,12.819425068451835,B,Hard,A,False,5,explicit,17.439683,1.672185,2.399479,7.430902,0,4,2,2,2026-03-19T00:55:05.937195,2026-03-19T00:55:07.609380,2026-03-19T00:55:13.546497,2026-03-19T00:55:15.945976,2026-03-19T00:55:23.376878
P01_S1_C002,P01,1,2,2026-03-19T00:55:57.384516,baseline,traj_a_2,traj_b_2,279.16443421591055,392.66343053913556,113.49899632322501,B,Easy,B,True,5,explicit,25.82043,0.40227,0.473298,2.361613,0,4,2,2,2026-03-19T00:55:31.557836,2026-03-19T00:55:31.960106,2026-03-19T00:55:54.543355,2026-03-19T00:55:55.016653,2026-03-19T00:55:57.378266
